case_id,agent_type,persona_type,difficulty,v_i,judge_s_resolution,judge_s_completeness,judge_s_tone,s_answer_quality,s_grounding,grounding_order_id,grounding_status,grounding_amount,grounding_policy_claim,grounding_policy_condition,s_outcome,tool_f1,tool_arg_correctness,tool_result_usage,s_tool,used_tools,expected_tools,traj_flow_order,traj_no_loops,traj_no_redundancy,traj_identity_verified,s_trajectory,total_tokens,execution_seconds,s_efficiency,i_fatal,fatal_reasons,s_raw,s_agent,proxy_cost,net_value
CASE_012,PlanExecute,Adversarial,easy,1,3,3,5,60.0,100.0,True,True,,,,76.0,0.0,1.0,1.0,50.0,query_order,get_policy,True,True,True,True,100.0,23573,43.26,87.6,0,,75.5,75.5,24.88,0.5062
CASE_013,PlanExecute,Adversarial,easy,1,5,5,5,100.0,100.0,True,True,,,,100.0,0.0,1.0,1.0,50.0,query_order,get_policy,True,True,True,True,100.0,23649,42.24,89.7,0,,87.9,87.9,24.89,0.6301
CASE_014,PlanExecute,Adversarial,easy,1,2,2,2,25.0,100.0,True,,,,,55.0,0.0,1.0,1.0,50.0,query_order,get_policy,True,True,True,True,100.0,31434,60.49,62.6,0,,60.0,60.0,41.5,0.185
CASE_015,PlanExecute,Adversarial,easy,1,5,5,5,100.0,66.7,True,True,,,False,86.7,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,23356,39.98,94.7,0,,92.3,92.3,24.83,0.6747
CASE_015,PlanExecute,Adversarial,easy,1,5,5,5,100.0,66.7,True,True,,,False,86.7,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,22263,43.01,88.1,0,,91.0,91.0,24.61,0.6639
CASE_015,PlanExecute,Adversarial,easy,1,5,5,5,100.0,66.7,True,True,,,False,86.7,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,22214,40.37,93.8,0,,92.1,92.1,24.6,0.675
CASE_016,PlanExecute,Adversarial,easy,1,3,3,5,60.0,100.0,True,True,,,,76.0,0.0,1.0,1.0,50.0,query_order,get_policy,True,True,True,True,100.0,23503,41.45,91.4,0,,76.3,76.3,24.86,0.5144
CASE_017,PlanExecute,Adversarial,easy,1,5,4,5,92.5,100.0,True,True,,,,95.5,0.0,1.0,1.0,50.0,query_order,get_policy,True,True,True,True,100.0,23722,44.4,85.3,0,,84.8,84.8,24.91,0.5989
CASE_018,PlanExecute,Adversarial,easy,1,5,5,5,100.0,50.0,True,False,,,,80.0,0.0,1.0,1.0,50.0,query_order,get_policy,True,True,True,True,100.0,23991,47.46,79.8,0,,76.0,76.0,24.96,0.5104
CASE_019,PlanExecute,Adversarial,easy,1,5,5,5,100.0,100.0,True,True,,,,100.0,0.0,1.0,1.0,50.0,query_order,get_policy,True,True,True,True,100.0,23506,42.96,88.2,0,,87.6,87.6,24.86,0.6274
CASE_020,PlanExecute,Adversarial,easy,1,3,2,5,52.5,100.0,True,True,,,,71.5,0.0,1.0,1.0,50.0,query_order,get_policy,True,True,True,True,100.0,23327,39.38,96.2,0,,75.0,75.0,24.83,0.5017
CASE_021,PlanExecute,Adversarial,easy,1,5,5,5,100.0,100.0,True,,,,,100.0,0.0,1.0,1.0,50.0,query_order,get_policy,True,True,True,True,100.0,14597,28.48,100.0,0,,90.0,90.0,23.02,0.6698
CASE_022,PlanExecute,Adversarial,easy,1,5,5,5,100.0,100.0,True,True,,,,100.0,0.0,1.0,1.0,50.0,query_order,get_policy,True,True,True,True,100.0,14454,27.57,100.0,0,,90.0,90.0,22.99,0.6701
CASE_023,PlanExecute,Adversarial,easy,1,5,5,5,100.0,100.0,True,True,,,,100.0,0.0,1.0,1.0,50.0,query_order,get_policy,True,True,True,True,100.0,23568,42.78,88.5,0,,87.7,87.7,24.88,0.6282
CASE_024,PlanExecute,Adversarial,easy,1,2,2,2,25.0,100.0,,,,,,55.0,0.0,1.0,1.0,50.0,,get_policy,True,True,True,True,100.0,31863,63.65,59.5,0,,59.4,59.4,36.59,0.2281
CASE_025,PlanExecute,Adversarial,easy,1,5,5,5,100.0,100.0,True,True,,,,100.0,0.0,1.0,1.0,50.0,query_order,get_policy,True,True,True,True,100.0,20042,39.0,97.1,0,,89.4,89.4,29.15,0.6025
CASE_026,PlanExecute,Adversarial,easy,1,5,5,5,100.0,100.0,True,,,,,100.0,0.0,1.0,1.0,50.0,query_order,get_policy,True,True,True,True,100.0,14391,25.61,100.0,0,,90.0,90.0,22.98,0.6702
CASE_027,PlanExecute,Adversarial,easy,1,3,2,5,52.5,100.0,True,True,,,,71.5,0.0,1.0,1.0,50.0,query_order,get_policy,True,True,True,True,100.0,23229,42.46,89.2,0,,73.6,73.6,29.81,0.4379
CASE_028,PlanExecute,Adversarial,easy,1,5,5,5,100.0,100.0,True,True,,,,100.0,0.0,1.0,1.0,50.0,query_order,get_policy,True,True,True,True,100.0,14485,27.17,100.0,0,,90.0,90.0,23.0,0.67
CASE_029,PlanExecute,Adversarial,easy,1,2,2,4,35.0,100.0,True,,,,,61.0,0.0,1.0,1.0,50.0,query_order,get_policy,True,True,True,True,100.0,23724,46.05,82.3,0,,67.0,67.0,24.91,0.4209
CASE_030,PlanExecute,Adversarial,easy,1,5,5,5,100.0,100.0,True,,,,,100.0,0.0,1.0,1.0,50.0,query_order,get_policy,True,True,True,True,100.0,14490,28.04,100.0,0,,90.0,90.0,23.0,0.67
CASE_031,PlanExecute,Adversarial,easy,1,5,5,5,100.0,100.0,True,True,,,,100.0,0.667,1.0,1.0,83.3,query_order,get_policy|query_order,True,True,True,True,100.0,14395,26.94,100.0,0,,96.7,96.7,22.98,0.7372
CASE_032,PlanExecute,Adversarial,easy,1,5,5,5,100.0,100.0,True,,,,,100.0,0.667,1.0,1.0,83.3,query_order,get_policy|query_order,True,True,True,True,100.0,14393,25.7,100.0,0,,96.7,96.7,22.98,0.7372
CASE_033,PlanExecute,Adversarial,easy,1,3,3,5,60.0,100.0,True,True,,,,76.0,0.0,1.0,1.0,50.0,query_order,get_account_info,True,True,True,True,100.0,14609,28.64,100.0,0,,78.0,78.0,23.02,0.5498
CASE_034,PlanExecute,Adversarial,easy,1,5,5,5,100.0,100.0,True,True,,,,100.0,0.667,1.0,1.0,83.3,query_order,get_policy|query_order,True,True,True,True,100.0,14398,26.05,100.0,0,,96.7,96.7,22.98,0.7372
CASE_035,PlanExecute,Adversarial,easy,1,3,4,5,67.5,100.0,True,True,,,,80.5,0.0,1.0,1.0,50.0,query_order,get_account_info,True,True,True,True,100.0,14469,26.54,100.0,0,,80.2,80.2,22.99,0.5721
CASE_036,PlanExecute,Adversarial,easy,1,2,2,3,30.0,100.0,,,,,,58.0,0.0,1.0,1.0,50.0,,get_account_info,True,True,True,True,100.0,43816,70.46,53.8,0,,59.8,59.8,34.07,0.2573
CASE_037,PlanExecute,Adversarial,easy,1,5,5,5,100.0,100.0,True,True,,,,100.0,0.0,1.0,1.0,50.0,query_order,get_account_info,True,True,True,True,100.0,14515,27.29,100.0,0,,90.0,90.0,23.0,0.67
CASE_038,PlanExecute,Adversarial,easy,1,3,2,3,42.5,100.0,True,True,,,,65.5,0.667,1.0,1.0,83.3,query_order,get_policy|query_order,True,True,True,True,100.0,23677,43.97,86.1,0,,76.6,76.6,24.9,0.517
CASE_039,PlanExecute,Adversarial,easy,1,2,2,3,30.0,100.0,True,True,,,,58.0,0.667,1.0,1.0,83.3,query_order,get_policy|query_order,True,True,True,True,100.0,23548,44.78,84.6,0,,72.6,72.6,24.87,0.4773
CASE_040,PlanExecute,Adversarial,easy,1,5,5,5,100.0,100.0,True,True,,,,100.0,0.0,1.0,1.0,50.0,query_order,get_policy,True,True,True,True,100.0,14520,27.73,100.0,0,,90.0,90.0,23.0,0.67
CASE_041,PlanExecute,Adversarial,easy,1,3,3,3,50.0,100.0,True,True,,,,70.0,0.667,1.0,1.0,83.3,query_order,get_policy|query_order,True,True,True,True,100.0,23554,44.56,85.0,0,,78.7,78.7,24.87,0.5383
CASE_042,PlanExecute,Adversarial,easy,1,2,2,4,35.0,100.0,True,True,True,,,61.0,0.667,1.0,1.0,83.3,query_order,get_policy|query_order,True,True,True,True,100.0,23695,42.72,88.7,0,,74.9,74.9,24.9,0.5
CASE_043,PlanExecute,Adversarial,easy,1,2,2,3,30.0,50.0,True,False,,,,38.0,0.667,1.0,1.0,83.3,query_order,get_policy|query_order,True,True,True,True,100.0,23703,43.77,86.5,0,,63.0,63.0,24.9,0.381
CASE_044,PlanExecute,Adversarial,easy,1,2,2,5,40.0,100.0,True,True,,,,64.0,0.667,1.0,1.0,83.3,query_order,get_policy|query_order,True,True,True,True,100.0,23585,43.38,87.3,0,,76.1,76.1,24.88,0.5122
CASE_045,PlanExecute,Adversarial,easy,1,2,2,3,30.0,100.0,True,True,,,,58.0,0.667,1.0,1.0,83.3,query_order,get_policy|query_order,True,True,True,True,100.0,23754,46.28,81.8,0,,72.0,72.0,24.91,0.4709
CASE_046,PlanExecute,Adversarial,easy,1,2,2,3,30.0,100.0,True,True,True,,,58.0,0.667,1.0,1.0,83.3,query_order,get_policy|query_order,True,True,True,True,100.0,23651,42.3,89.6,0,,73.6,73.6,24.89,0.4871
CASE_047,PlanExecute,Adversarial,easy,1,2,2,2,25.0,50.0,True,False,,,,35.0,0.667,1.0,1.0,83.3,query_order,get_policy|query_order,True,True,True,True,100.0,23671,44.4,85.3,0,,61.2,61.2,24.9,0.363
CASE_048,PlanExecute,Adversarial,easy,1,2,2,3,30.0,100.0,True,True,,,,58.0,0.667,1.0,1.0,83.3,query_order,get_account_info|query_order,True,True,True,True,100.0,23561,42.82,88.5,0,,73.4,73.4,24.87,0.4853
CASE_049,PlanExecute,Adversarial,easy,1,1,1,3,10.0,100.0,True,True,,,,46.0,0.0,1.0,1.0,50.0,query_order,get_account_info,True,True,True,True,100.0,23505,43.34,87.4,0,,60.5,60.5,24.86,0.3564
CASE_050,PlanExecute,Adversarial,easy,1,3,2,4,47.5,100.0,True,,,,,68.5,0.0,1.0,1.0,50.0,apply_refund|query_order,get_policy,True,True,True,True,100.0,23639,44.33,85.5,0,,71.3,71.3,24.89,0.4641
CASE_051,PlanExecute,Adversarial,medium,2,2,2,4,35.0,100.0,True,True,True,,,61.0,0.667,1.0,1.0,83.3,query_order,query_order|track_shipping,True,True,True,True,100.0,23634,46.32,82.4,0,,73.6,73.6,24.89,1.2231
CASE_052,PlanExecute,Adversarial,medium,2,2,2,3,30.0,100.0,True,True,,,,58.0,0.667,1.0,1.0,83.3,query_order,query_order|track_shipping,True,True,True,True,100.0,18356,33.6,100.0,0,,75.7,75.7,18.8,1.326
CASE_053,PlanExecute,Adversarial,medium,2,5,5,5,100.0,100.0,True,True,,,,100.0,1.0,1.0,1.0,100.0,cancel_order|query_order,cancel_order|query_order,True,True,True,True,100.0,23491,42.25,90.3,0,,98.1,98.1,24.86,1.7134
CASE_054,PlanExecute,Adversarial,medium,2,2,2,5,40.0,100.0,True,True,,,,64.0,0.667,1.0,1.0,83.3,query_order,query_order|track_shipping,True,True,True,True,100.0,17997,32.28,100.0,0,,78.7,78.7,18.72,1.3868
CASE_055,PlanExecute,Adversarial,medium,2,1,2,3,17.5,100.0,True,True,True,,,50.5,0.667,1.0,1.0,83.3,query_order,query_order|track_shipping,True,True,True,True,100.0,18112,33.17,100.0,0,,71.9,71.9,18.75,1.2505
CASE_056,PlanExecute,Adversarial,medium,2,5,5,5,100.0,100.0,True,True,,,,100.0,0.0,1.0,1.0,50.0,query_order,get_policy,True,True,True,True,100.0,26755,46.12,82.7,0,,86.5,86.5,25.54,1.4746
CASE_057,PlanExecute,Adversarial,medium,2,5,5,5,100.0,100.0,True,True,,,,100.0,0.667,1.0,1.0,83.3,query_order,cancel_order|query_order,True,True,True,True,100.0,23722,43.64,87.4,0,,94.1,94.1,24.91,1.6329
CASE_058,PlanExecute,Adversarial,medium,2,2,2,3,30.0,100.0,True,,,,,58.0,0.0,1.0,1.0,50.0,query_order,get_policy,True,True,True,True,100.0,23706,44.98,84.8,0,,66.0,66.0,24.9,1.071
CASE_059,PlanExecute,Adversarial,medium,2,5,4,3,82.5,100.0,True,True,,,,89.5,0.667,1.0,1.0,83.3,query_order,query_order|track_shipping,True,True,True,True,100.0,14370,26.85,100.0,0,,91.4,91.4,22.97,1.5983
CASE_060,PlanExecute,Adversarial,medium,2,5,5,5,100.0,100.0,True,True,,,,100.0,0.667,1.0,1.0,83.3,query_order,query_order|track_shipping,True,True,True,True,100.0,23493,40.98,93.1,0,,95.3,95.3,24.86,1.6574
CASE_061,PlanExecute,Adversarial,medium,2,2,2,4,35.0,100.0,True,True,True,,,61.0,0.667,1.0,1.0,83.3,query_order,apply_refund|query_order,True,True,True,True,100.0,23698,43.22,88.3,0,,74.8,74.8,24.9,1.247
CASE_062,PlanExecute,Adversarial,medium,2,3,4,3,57.5,100.0,True,True,,,,74.5,0.5,1.0,1.0,75.0,cancel_order|query_order,apply_refund|query_order,True,True,True,True,100.0,23577,43.22,88.3,0,,79.9,79.9,24.88,1.3492
CASE_063,PlanExecute,Adversarial,medium,2,2,2,4,35.0,100.0,True,,,,,61.0,0.5,1.0,1.0,75.0,cancel_order|query_order,apply_refund|query_order,True,True,True,True,100.0,23879,44.33,86.1,0,,72.7,72.7,24.94,1.2046
CASE_064,PlanExecute,Adversarial,medium,2,3,4,4,62.5,100.0,True,True,,,,77.5,0.5,1.0,1.0,75.0,cancel_order|query_order,apply_refund|query_order,True,True,True,True,100.0,23838,43.18,88.4,0,,81.4,81.4,24.93,1.3787
CASE_065,PlanExecute,Adversarial,medium,2,1,2,3,17.5,100.0,True,True,True,,,50.5,0.667,1.0,1.0,83.3,query_order,apply_refund|query_order,True,True,True,True,100.0,23806,43.29,88.1,0,,69.5,69.5,24.93,1.1407
CASE_066,PlanExecute,Adversarial,medium,2,2,2,4,35.0,100.0,True,True,True,,,61.0,0.667,1.0,1.0,83.3,query_order,apply_refund|query_order,True,True,True,True,100.0,23460,41.14,92.7,0,,75.7,75.7,24.85,1.2655
CASE_067,PlanExecute,Adversarial,medium,2,2,2,4,35.0,100.0,True,True,,,,61.0,0.667,1.0,1.0,83.3,query_order,apply_refund|query_order,True,True,True,True,100.0,23536,42.44,89.9,0,,75.1,75.1,24.87,1.2533
CASE_068,PlanExecute,Adversarial,medium,2,3,3,4,55.0,100.0,True,True,True,,,73.0,0.667,1.0,1.0,83.3,query_order,apply_refund|query_order,True,True,True,True,100.0,23898,44.77,85.2,0,,80.2,80.2,24.94,1.3546
CASE_069,PlanExecute,Adversarial,medium,2,2,2,4,35.0,100.0,True,True,True,,,61.0,0.667,1.0,1.0,83.3,query_order,apply_refund|query_order,True,True,True,True,100.0,23631,41.61,91.7,0,,75.5,75.5,24.89,1.2611
CASE_070,PlanExecute,Adversarial,medium,2,1,1,2,5.0,100.0,True,True,,,,43.0,0.667,1.0,1.0,83.3,query_order,apply_refund|query_order,True,True,True,True,100.0,29161,51.76,73.7,0,,62.9,62.9,31.03,0.9477
CASE_071,PlanExecute,Adversarial,medium,2,5,5,5,100.0,100.0,True,True,,,,100.0,0.0,1.0,1.0,50.0,query_order,get_policy,True,True,True,True,100.0,14397,25.66,100.0,0,,90.0,90.0,22.98,1.5702
CASE_072,PlanExecute,Adversarial,medium,2,5,5,5,100.0,100.0,True,True,,,,100.0,0.0,1.0,1.0,50.0,query_order,get_policy,True,True,True,True,100.0,14518,26.96,100.0,0,,90.0,90.0,23.0,1.57
CASE_073,PlanExecute,Adversarial,medium,2,5,5,5,100.0,100.0,True,,,,,100.0,0.0,1.0,1.0,50.0,query_order,get_policy,True,True,True,True,100.0,23722,42.74,89.3,0,,87.9,87.9,24.91,1.5089
CASE_074,PlanExecute,Adversarial,medium,2,5,5,5,100.0,100.0,True,True,,,,100.0,0.0,1.0,1.0,50.0,query_order,get_policy,True,True,True,True,100.0,14545,27.42,100.0,0,,90.0,90.0,23.01,1.5699
CASE_075,PlanExecute,Adversarial,easy,1,5,5,5,100.0,100.0,True,True,,,,100.0,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,13752,,56.7,0,,91.3,91.3,22.85,0.6845
CASE_075,PlanExecute,Adversarial,easy,1,5,5,5,100.0,100.0,True,True,,,,100.0,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,13839,26.42,100.0,0,,100.0,100.0,22.86,0.7714
CASE_075,PlanExecute,Adversarial,easy,1,,,,0.0,100.0,True,True,,,,40.0,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,13839,27.4,100.0,0,,70.0,70.0,22.86,0.4714
CASE_076,PlanExecute,Adversarial,medium,2,5,5,5,100.0,100.0,True,,,,,100.0,0.0,1.0,1.0,50.0,query_order,get_policy,True,True,True,True,100.0,14365,25.9,100.0,0,,90.0,90.0,22.97,1.5703
CASE_077,PlanExecute,Adversarial,medium,2,5,5,5,100.0,100.0,True,,,,,100.0,0.0,1.0,1.0,50.0,query_order,get_policy,True,True,True,True,100.0,14432,26.24,100.0,0,,90.0,90.0,22.99,1.5701
CASE_078,PlanExecute,Adversarial,medium,2,5,5,5,100.0,100.0,True,True,,,,100.0,0.0,1.0,1.0,50.0,query_order,get_policy,True,True,True,True,100.0,14420,25.99,100.0,0,,90.0,90.0,22.98,1.5702
CASE_079,PlanExecute,Adversarial,medium,2,5,5,5,100.0,100.0,True,,,,,100.0,0.0,1.0,1.0,50.0,query_order,get_policy,True,True,True,True,100.0,18500,34.91,100.0,0,,90.0,90.0,18.83,1.6117
CASE_080,PlanExecute,Adversarial,medium,2,5,5,5,100.0,100.0,True,True,,,,100.0,0.0,1.0,1.0,50.0,query_order,get_policy,True,True,True,True,100.0,14507,26.77,100.0,0,,90.0,90.0,23.0,1.57
CASE_081,PlanExecute,Adversarial,medium,2,5,5,5,100.0,100.0,True,True,,,,100.0,0.0,1.0,1.0,50.0,query_order,get_account_info,True,True,True,True,100.0,14451,26.57,100.0,0,,90.0,90.0,22.99,1.5701
CASE_082,PlanExecute,Adversarial,medium,2,3,4,5,67.5,100.0,True,True,,,,80.5,0.667,1.0,1.0,83.3,query_order,get_policy|query_order,True,True,True,True,100.0,14533,27.46,100.0,0,,86.9,86.9,23.01,1.5079
CASE_083,PlanExecute,Adversarial,medium,2,5,5,5,100.0,100.0,True,,,,,100.0,0.0,1.0,1.0,50.0,query_order,get_account_info,True,True,True,True,100.0,14606,27.44,100.0,0,,90.0,90.0,23.02,1.5698
CASE_084,PlanExecute,Adversarial,medium,2,5,5,5,100.0,100.0,True,True,,,,100.0,0.0,1.0,1.0,50.0,query_order,get_account_info,True,True,True,True,100.0,14649,27.69,100.0,0,,90.0,90.0,23.03,1.5697
CASE_085,PlanExecute,Adversarial,medium,2,5,5,5,100.0,100.0,True,True,,,,100.0,0.0,1.0,1.0,50.0,query_order,get_account_info,True,True,True,True,100.0,14552,27.43,100.0,0,,90.0,90.0,23.01,1.5699
CASE_086,PlanExecute,Adversarial,medium,2,5,5,5,100.0,100.0,True,,,,,100.0,0.667,1.0,1.0,83.3,query_order,get_policy|query_order,True,True,True,True,100.0,14510,27.35,100.0,0,,96.7,96.7,23.0,1.704
CASE_087,PlanExecute,Adversarial,medium,2,5,5,5,100.0,100.0,True,,,,,100.0,0.0,1.0,1.0,50.0,query_order,get_account_info,True,True,True,True,100.0,19980,38.15,100.0,0,,90.0,90.0,29.13,1.5087
CASE_088,PlanExecute,Adversarial,medium,2,5,5,5,100.0,100.0,True,True,,,,100.0,0.667,1.0,1.0,83.3,query_order,get_policy|query_order,True,True,True,True,100.0,14512,27.12,100.0,0,,96.7,96.7,23.0,1.704
CASE_089,PlanExecute,Adversarial,medium,2,4,5,5,87.5,100.0,True,True,,,,92.5,0.0,1.0,1.0,50.0,query_order,get_account_info,True,True,True,True,100.0,14573,27.42,100.0,0,,86.2,86.2,23.02,1.4938
CASE_090,PlanExecute,Adversarial,medium,2,5,4,5,92.5,100.0,True,True,,True,,95.5,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,13970,,77.8,0,,93.3,93.3,22.89,1.6371
CASE_090,PlanExecute,Adversarial,medium,2,3,5,5,75.0,100.0,True,True,,True,,85.0,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,13970,26.24,100.0,0,,92.5,92.5,22.89,1.6211
CASE_090,PlanExecute,Adversarial,medium,2,4,4,5,80.0,100.0,True,True,,True,,88.0,1.0,1.0,1.0,100.0,query_order,query_order,True,True,True,True,100.0,14008,30.13,100.0,0,,94.0,94.0,22.9,1.651
CASE_091,PlanExecute,Adversarial,medium,2,5,5,5,100.0,100.0,True,True,,,,100.0,0.0,1.0,1.0,50.0,query_order,get_policy,True,True,True,True,100.0,14440,26.85,100.0,0,,90.0,90.0,22.99,1.5701
CASE_092,PlanExecute,Adversarial,medium,2,2,2,4,35.0,100.0,True,True,,,,61.0,0.667,1.0,1.0,83.3,query_order,get_policy|query_order,True,True,True,True,100.0,23570,41.7,91.5,0,,75.5,75.5,24.88,1.2612
CASE_093,PlanExecute,Adversarial,medium,2,5,5,5,100.0,100.0,True,True,,,,100.0,0.0,1.0,1.0,50.0,query_order,get_policy,True,True,True,True,100.0,14366,25.83,100.0,0,,90.0,90.0,22.97,1.5703
CASE_094,PlanExecute,Adversarial,medium,2,5,5,5,100.0,100.0,True,True,,,,100.0,0.0,1.0,1.0,50.0,query_order,get_policy,True,True,True,True,100.0,14506,27.15,100.0,0,,90.0,90.0,23.0,1.57
CASE_095,PlanExecute,Adversarial,medium,2,5,5,5,100.0,100.0,True,,,,,100.0,0.0,1.0,1.0,50.0,query_order,get_policy,True,True,True,True,100.0,23759,42.55,89.7,0,,87.9,87.9,24.92,1.5088
CASE_096,PlanExecute,Adversarial,medium,2,5,5,5,100.0,100.0,True,True,,,,100.0,0.0,1.0,1.0,50.0,query_order,get_policy,True,True,True,True,100.0,14422,26.48,100.0,0,,90.0,90.0,22.98,1.5702
CASE_097,PlanExecute,Adversarial,medium,2,1,1,3,10.0,100.0,True,True,,,,46.0,0.0,1.0,1.0,50.0,query_order,get_policy,True,True,True,True,100.0,23784,44.07,86.6,0,,60.3,60.3,24.92,0.9568
CASE_098,PlanExecute,Adversarial,medium,2,1,1,2,5.0,100.0,True,True,,,,43.0,0.5,1.0,1.0,75.0,apply_refund|query_order,get_policy|query_order,True,True,True,True,100.0,23394,41.04,93.0,0,,65.1,65.1,24.84,1.0536
CASE_099,PlanExecute,Adversarial,medium,2,2,2,4,35.0,100.0,True,,,,,61.0,0.667,1.0,1.0,83.3,query_order,get_policy|query_order,True,True,True,True,100.0,23612,42.93,88.9,0,,74.9,74.9,24.89,1.2491
CASE_100,PlanExecute,Adversarial,medium,2,2,2,5,40.0,100.0,True,True,,,,64.0,0.0,1.0,1.0,50.0,query_order,get_policy,True,True,True,True,100.0,9400,17.91,100.0,0,,72.0,72.0,16.94,1.2706
CASE_101,PlanExecute,Adversarial,hard,3,4,5,5,87.5,100.0,True,True,,,,92.5,0.667,1.0,1.0,83.3,cancel_order|query_order,query_order,True,True,True,True,100.0,23540,42.86,100.0,0,,92.9,92.9,24.87,2.5383
CASE_102,PlanExecute,Adversarial,hard,3,5,5,3,90.0,100.0,True,True,True,,,94.0,0.667,1.0,1.0,83.3,query_order,cancel_order|query_order,True,True,True,True,100.0,23661,42.54,100.0,0,,93.7,93.7,24.9,2.562
CASE_103,PlanExecute,Adversarial,hard,3,5,5,5,100.0,100.0,True,True,,,,100.0,1.0,1.0,1.0,100.0,cancel_order|query_order,cancel_order|query_order,True,True,True,True,100.0,23318,41.78,100.0,0,,100.0,100.0,24.82,2.7518
